"p_id","time_20_21","time_21_22","time_22_23","time_23_00","time_00_01","time_01_02","time_02_03","time_03_04","time_04_05","time_05_06","time_06_07","time_07_08","time_08_09","time_09_10","time_10_11","time_11_12","time_12_13","time_13_14","time_20_22","time_21_23","time_22_00","time_23_01","time_00_02","time_01_03","time_02_04","time_03_05","time_04_06","time_05_07","time_06_08","time_07_09","time_08_10","time_09_11","time_10_12","time_11_13","time_12_14","time_20_23","time_21_00","time_22_01","time_23_02","time_00_03","time_01_04","time_02_05","time_03_06","time_04_07","time_05_08","time_06_09","time_07_10","time_08_11","time_09_12","time_10_13","time_11_14","time_20_00","time_21_01","time_22_02","time_23_03","time_00_04","time_01_05","time_02_06","time_03_07","time_04_08","time_05_09","time_06_10","time_07_11","time_08_12","time_09_13","time_10_14","night_22_06"
5361,NA,25.4,24.997,24.9,24.9,24.9,NA,NA,22.9,22.9,22.9,22.9,23.11,23.613,24.396,24.8,NA,NA,25.4,25.175,24.938,24.9,24.9,24.9,NA,22.9,22.9,22.9,22.9,22.972,23.435,24.015,24.45,24.8,NA,25.175,25.048,24.924,24.9,24.9,24.9,22.9,22.9,22.9,22.9,22.947,23.218,23.825,24.072,24.45,24.8,25.048,25.002,24.92,24.9,24.9,23.802,22.9,22.9,22.9,22.933,23.139,23.558,23.882,24.072,24.45,24.261
5362,NA,NA,29.3,28.692,27.435,26.8,NA,NA,23.268,22.854,22.662,23,23.871,25.041,26.419,26.9,NA,30.4,NA,29.3,28.906,28.069,27.241,26.8,NA,23.268,23.001,22.767,22.849,23.298,24.628,25.748,26.483,26.9,30.4,29.3,28.906,28.335,27.842,27.241,26.8,23.268,23.001,22.883,22.85,23.076,23.968,25.354,25.832,26.483,29.605,28.906,28.335,28.111,27.842,27.241,24.861,23.001,22.883,22.918,23.011,23.644,24.676,25.444,25.832,27.718,26.407
5365,32.657,30.068,27.201,25.982,24.287,23.4,NA,NA,21.026,20.9,21.03,21.719,22.882,24.632,26.787,27.7,NA,33.699,31.375,28.929,26.459,25.143,24.017,23.4,NA,21.026,20.945,20.959,21.41,22.116,24.013,25.738,26.909,27.7,33.699,30.347,27.806,25.648,24.831,24.017,23.4,21.026,20.945,20.975,21.232,21.738,23.084,25.138,25.881,26.909,32.336,29.142,26.849,25.33,24.831,24.017,22.097,20.945,20.975,21.199,21.491,22.574,24.153,25.288,25.881,29.05,23.899
5417,NA,NA,NA,NA,NA,NA,NA,NA,24.4,24.4,24.4,24.4,25.179,26.587,28.244,28.9,NA,35.1,NA,NA,NA,NA,NA,NA,NA,24.4,24.4,24.4,24.4,24.667,26.089,27.437,28.331,28.9,35.1,NA,NA,NA,NA,NA,NA,24.4,24.4,24.4,24.4,24.574,25.405,26.963,27.544,28.331,33.691,NA,NA,NA,NA,NA,24.4,24.4,24.4,24.4,24.523,25.156,26.225,27.076,27.544,30.466,24.4
5421,31.944,29.738,27.308,26.363,25.265,24.8,NA,NA,22.053,21.602,21.53,22.477,25.613,27.8,NA,NA,NA,32.9,30.852,28.772,26.733,25.819,25.123,24.8,NA,22.053,21.762,21.569,22.053,23.551,26.525,27.8,NA,NA,32.9,29.979,27.855,26.184,25.637,25.123,24.8,22.053,21.762,21.681,21.895,22.846,24.388,26.525,27.8,NA,32.9,28.981,27.15,25.989,25.637,25.123,23.291,21.762,21.681,21.921,22.479,23.528,24.388,26.525,27.8,32.9,24.609
5422,32.789,30.327,27.007,26.128,25.027,24.5,NA,NA,22.547,22.75,24.156,25.1,25.753,26.997,28.316,28.7,NA,32.2,31.569,29.008,26.472,25.583,24.866,24.5,NA,22.547,22.678,23.389,24.677,25.324,26.557,27.673,28.367,28.7,32.2,30.446,27.911,25.932,25.389,24.866,24.5,22.547,22.678,23.194,24.003,24.916,25.967,27.27,27.748,28.367,31.405,29.254,27.127,25.73,25.389,24.866,23.428,22.678,23.194,23.768,24.277,25.518,26.645,27.354,27.748,29.576,24.734
5426,31.968,30.178,27.754,26.656,25.379,24.849,NA,NA,21.995,21.43,21.266,22.696,24.477,25.9,27.693,28.5,NA,32.837,31.082,29.215,27.086,26.024,25.217,24.849,NA,21.995,21.631,21.356,22.055,23.304,25.397,26.82,27.801,28.5,32.837,30.262,28.24,26.448,25.814,25.217,24.849,21.995,21.631,21.504,21.837,22.593,24.302,26.328,26.943,27.801,31.852,29.266,27.462,26.222,25.814,25.217,23.282,21.631,21.504,21.862,22.25,23.549,25.281,26.456,26.943,29.389,24.724
5430,30.603,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,25.02,28.774,30.3,NA,36.158,30.305,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,24.55,26.946,28.977,30.3,36.158,30.305,29.5,NA,NA,NA,NA,NA,NA,NA,NA,22.9,24.55,26.454,27.191,28.977,34.826,30.305,29.5,NA,NA,NA,NA,NA,NA,NA,22.9,24.55,26.454,26.703,27.191,31.241,NA
5433,30.822,29.001,26.715,26.4,26.4,26.4,NA,NA,23.8,23.8,23.8,23.8,23.8,25.162,27.664,28.7,NA,33.629,29.921,28.093,26.524,26.4,26.4,26.4,NA,23.8,23.8,23.8,23.8,23.8,24.682,26.446,27.801,28.7,33.629,29.131,27.449,26.478,26.4,26.4,26.4,23.8,23.8,23.8,23.8,23.8,24.325,25.891,26.61,27.801,32.509,28.378,27.164,26.467,26.4,26.4,24.972,23.8,23.8,23.8,23.8,24.195,25.289,26.056,26.61,29.639,25.596
5434,31.024,29.995,28.399,27.622,26.536,26,NA,NA,24.084,23.496,23.432,23.872,24.415,25.284,26.308,26.7,NA,30.648,30.514,29.361,27.926,27.085,26.372,26,NA,24.084,23.705,23.467,23.674,24.057,24.977,25.809,26.36,26.7,30.648,29.993,28.698,27.407,26.891,26.372,26,24.084,23.705,23.61,23.612,23.839,24.529,25.517,25.874,26.36,29.75,29.339,28.11,27.208,26.891,26.372,24.948,23.705,23.61,23.688,23.738,24.257,25.043,25.586,25.874,27.712,26.065
